workLat,workLong,workTweets,homeLat,homeLong,homeTweets,#tweets,userID,homeCountry,workCountry,homeCanton,workCanton,distance,closer to home,closer to work,routeTime
47.38,8.54,16.0,47.38,8.54,12.0,100,2972939609,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 1.6615021190898316)","('Zurich', 1.6615021190898316)",0.0
45.79,6.22,28.0,45.79,6.22,32.0,100,23298540,France,France,-,-,0.0,"('Annecy', 14.60696641798235)","('Annecy', 14.60696641798235)",0.0
47.41,8.53,65.0,47.41,8.53,34.0,100,2984157329,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 5.044681705291974)","('Zurich', 5.044681705291974)",0.0
46.23,6.14,48.0,46.21,6.15,19.0,101,138235597,Suisse,Suisse,Genève,Genève,2.351737549044163,"('Geneva', 1.6983659807231022)","('Geneva', 3.915220404275979)",7.516666666666667
47.55,6.81,41.0,47.55,6.81,49.0,101,584214954,France,France,-,-,0.0,"('Mulhouse', 45.039664742926135)","('Mulhouse', 45.039664742926135)",0.0
47.56,7.58,30.0,47.56,7.58,69.0,101,3549601,Suisse,Suisse,Basel-Stadt,Basel-Stadt,0.0,"('Basel', 1.6743361716465146)","('Basel', 1.6743361716465146)",0.0
47.05,8.8,40.0,47.05,8.8,52.0,101,599141002,Suisse,Suisse,Schwyz,Schwyz,0.0,"('Zurich', 39.9313524427687)","('Zurich', 39.9313524427687)",0.0
47.2,5.94,57.0,47.2,5.94,44.0,101,337966870,France,France,-,-,0.0,"('Pontarlier', 45.54989655475243)","('Pontarlier', 45.54989655475243)",0.0
47.65,6.86,14.0,47.63,6.92,54.0,101,135565487,France,France,-,-,5.012171856375144,"('Mulhouse', 33.66928966166691)","('Mulhouse', 37.10069188660672)",11.616666666666667
46.34,6.44,50.0,46.34,6.44,51.0,101,1165294681,France,France,-,-,0.0,"('Annemasse', 22.434370875978328)","('Annemasse', 22.434370875978328)",0.0
46.74,7.64,36.0,46.74,7.64,40.0,101,46361985,Suisse,Suisse,Bern - Berne,Bern - Berne,0.0,"('Bern', 23.646828638475768)","('Bern', 23.646828638475768)",0.0
47.76,8.98,73.0,47.76,8.98,28.0,101,2932463801,Deutschland,Deutschland,-,-,0.0,"('Zurich', 54.31456527556429)","('Zurich', 54.31456527556429)",0.0
47.23,8.66,27.0,47.23,8.66,40.0,101,2729097718,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 17.3026558658715)","('Zurich', 17.3026558658715)",0.0
47.24,9.63,52.0,47.24,9.63,49.0,101,734440692,Österreich,Österreich,-,-,0.0,"('Zurich', 82.5919070814049)","('Zurich', 82.5919070814049)",0.0
47.33,8.62,10.0,47.33,8.62,21.0,101,529261177,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 6.662023278182478)","('Zurich', 6.662023278182478)",0.0
46.21,6.11,36.0,46.21,6.11,43.0,101,910568120,Suisse,Suisse,Genève,Genève,0.0,"('Geneva', 4.500020769703958)","('Geneva', 4.500020769703958)",0.0
47.0,6.94,40.0,47.0,6.94,44.0,101,15004617,Suisse,Suisse,Neuchâtel,Neuchâtel,0.0,"('Bern', 41.006560264788824)","('Bern', 41.006560264788824)",0.0
45.8,6.57,30.0,45.8,6.57,62.0,101,1085465263,France,France,-,-,0.0,"('Annecy', 36.804420884072414)","('Annecy', 36.804420884072414)",0.0
45.93,6.93,35.0,45.93,6.93,49.0,101,484140798,France,France,-,-,0.0,"('Sion', 46.73342871764081)","('Sion', 46.73342871764081)",0.0
45.8,9.08,87.0,45.8,9.08,12.0,101,253062081,Italia,Italia,-,-,0.0,"('Varese', 19.741049492816074)","('Varese', 19.741049492816074)",0.0
45.8,9.08,25.0,45.81,9.03,25.0,101,81417603,Italia,Italia,-,-,4.029537922013402,"('Varese', 15.792099109561242)","('Varese', 19.741049492816074)",13.65
45.85,6.1,54.0,45.85,6.1,47.0,101,19610690,France,France,-,-,0.0,"('Annecy', 5.704504113384962)","('Annecy', 5.704504113384962)",0.0
46.0,8.94,76.0,46.0,8.94,25.0,101,426284872,Suisse,Suisse,Ticino,Ticino,0.0,"('Varese', 22.090587674324194)","('Varese', 22.090587674324194)",0.0
47.51,6.94,48.0,47.51,6.94,21.0,101,3380384855,France,France,-,-,0.0,"('Mulhouse', 39.7342478137538)","('Mulhouse', 39.7342478137538)",0.0
46.51,6.66,26.0,46.51,6.66,73.0,101,1460548670,Suisse,Suisse,Vaud,Vaud,0.0,"('Lausanne', 2.639410653791181)","('Lausanne', 2.639410653791181)",0.0
47.7,9.27,41.0,47.7,9.27,38.0,101,64387730,Deutschland,Deutschland,-,-,0.0,"('Zurich', 65.499080971867)","('Zurich', 65.499080971867)",0.0
47.46,10.02,88.0,47.46,10.02,12.0,101,1122232950,Österreich,Österreich,-,-,0.0,"('Zurich', 111.02612300315974)","('Zurich', 111.02612300315974)",0.0
45.98,6.0,19.0,45.98,6.0,61.0,101,141949128,France,France,-,-,0.0,"('Annecy', 12.66341081782818)","('Annecy', 12.66341081782818)",0.0
47.57,7.59,28.0,47.57,7.59,70.0,101,433389810,Suisse,Suisse,Basel-Stadt,Basel-Stadt,0.0,"('Basel', 0.8346478921920487)","('Basel', 0.8346478921920487)",0.0
47.41,8.58,18.0,47.41,8.58,10.0,101,1243313953,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 5.3177940147306035)","('Zurich', 5.3177940147306035)",0.0
45.85,6.1,45.0,45.85,6.1,39.0,101,3438990538,France,France,-,-,0.0,"('Annecy', 5.704504113384962)","('Annecy', 5.704504113384962)",0.0
46.2,6.14,63.0,46.2,6.14,35.0,101,284896105,Suisse,Suisse,Genève,Genève,0.0,"('Geneva', 2.0536168395962333)","('Geneva', 2.0536168395962333)",0.0
47.38,8.54,33.0,47.38,8.54,60.0,101,3131461289,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 1.6615021190898316)","('Zurich', 1.6615021190898316)",0.0
45.83,6.81,19.0,45.83,6.81,13.0,101,122922135,Italia,Italia,-,-,0.0,"('Annecy', 54.20984604150633)","('Annecy', 54.20984604150633)",0.0
47.38,8.54,26.0,47.38,8.54,16.0,101,546822022,Suisse,Suisse,Zürich,Zürich,0.0,"('Zurich', 1.6615021190898316)","('Zurich', 1.6615021190898316)",0.0
46.2,6.14,47.0,46.2,6.14,21.0,101,292098708,Suisse,Suisse,Genève,Genève,0.0,"('Geneva', 2.0536168395962333)","('Geneva', 2.0536168395962333)",0.0
47.44,7.76,34.0,47.44,7.76,66.0,101,4853456333,Suisse,Suisse,Basel-Landschaft,Basel-Landschaft,0.0,"('Basel', 18.506845759390046)","('Basel', 18.506845759390046)",0.0
47.72,7.28,84.0,47.72,7.28,15.0,101,340143773,France,France,-,-,0.0,"('Mulhouse', 5.1944798445368106)","('Mulhouse', 5.1944798445368106)",0.0
45.8,9.08,41.0,45.8,9.08,52.0,101,305813985,Italia,Italia,-,-,0.0,"('Varese', 19.741049492816074)","('Varese', 19.741049492816074)",0.0
