name,date,keywords,hashtags,longitude,latitude,# of tweets,# of people,tweetids
zhwahlen2010 ,2010-03-07,zhwahlen2010,zhwahlen2010,8.530788000000001,47.37158000000001,10.0,3.0,"[10096142854, 10117661003, 10122712301, 10124037416, 10124148859, 10124186840, 10124802193, 10127808511, 10129433354, 10129662705]"
cern lhc ,2010-03-30,"7tev, cern, lhc","cern, lhc",6.11743375,46.20650625,16.0,6.0,"[11290380524, 11290576184, 11291387514, 11291541004, 11295162351, 11296933840, 11296936609, 11297363491, 11301890225, 11302256007, 11302274361, 11302884476, 11302890274, 11304244018, 11326563366, 11334668568]"
fb ,2010-05-22,fb,fb,6.14172625,46.1966125,8.0,4.0,"[14473013419, 14477514037, 14477623268, 14479664759, 14482828341, 14493459591, 14513252936, 14521822183]"
gfsc2010 ,2010-05-29,gfsc2010,gfsc2010,6.148202727272728,46.20956363636364,11.0,4.0,"[14958559754, 14959412920, 14963118521, 14963352835, 14963678835, 14963748662, 14963895838, 14964017226, 14967675906, 14975823053, 14983865880]"
bcbs10 ,2010-06-05,bcbs10,bcbs10,9.170459285714283,47.667207142857144,14.0,3.0,"[15474249596, 15475025339, 15476055767, 15477004193, 15477031617, 15477205459, 15479855480, 15480008395, 15480572229, 15487949297, 15489859233, 15492380781, 15501527660, 15503010521]"
mcw ,2010-06-12,mcw,mcw,8.534659285714287,47.381571428571434,14.0,6.0,"[15989515737, 15990232708, 15990669914, 15993614069, 15995088804, 15995962233, 16000208855, 16001365448, 16010467882, 16010938888, 16023320244, 16027712895, 16027846994, 16032486107]"
worldcup ,2010-06-16,"Swiss, worldcup",worldcup,8.294810000000002,47.0802125,8.0,3.0,"[16285080907, 16301206563, 16305938657, 16309852915, 16310739002, 16310796768, 16313528225, 16316837138]"
swisscrmforum ,2010-06-24,swisscrmforum,swisscrmforum,8.543925116279071,47.4025441860465,43.0,15.0,"[16910610939, 16911022902, 16911067954, 16912113837, 16912660860, 16913721651, 16913740382, 16914019242, 16917044021, 16918521030, 16918639712, 16918737431, 16918922757, 16919251940, 16920508637, 16920815800, 16921144365, 16922244388, 16924403553, 16924608410, 16924731196, 16924804444, 16925668294, 16926722735, 16930330195, 16931689421, 16932191158, 16932282520, 16932440914, 16932654898, 16932824402, 16933812304, 16945334428, 16946047862, 16946814792, 16947592784, 16953407863, 16955248636, 16955883551, 16958032382, 16961059053, 16961340310, 16966110506]"
